Number of doors,Tipo di corpo,CO2 emissions,Luggage compartment volume,Dimensioni e Peso,Front Terrain Angle,Motore e trasporzione,Equipamento,Turning circle diameter,Rubber size,Acceleration from 0 to 100 km/h,Production period,Wading depth,Drive,Ground clearance,Payload,Number of cylinders,Cylinder Arrangement,Cylinder capacity,Length,Rear Terrain Angle,Category,Exports,Department of Environmental Protection,Altitude,Maximum Torque,Maximum power,On-road consumption,Performace,Ramp angle,Own weight,Gearbox,Number of persons to be transported,Width,Wheelbase,Mixed consumption,Urban consumption,Top speed,Total weight,Modern price,Fuel,Fuel tank
Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,2003—,Non disponibile,Rear wheel,Non disponibile,Non disponibile,4 cylinders,Non disponibile,"2,665 cm³",Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,"59 kW, 80 HP",Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Diesel,Non disponibile
Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,1995—,Non disponibile,Front wheel,Non disponibile,Non disponibile,4 cylinders,Soros,1 499 cm³,Non disponibile,Non disponibile,Non disponibile,Staircase,Non disponibile,Non disponibile,Non disponibile,"57 kW, 78 HP",Non disponibile,Non disponibile,Non disponibile,Non disponibile,Manual (5-speed) transmission,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Gasoline,Non disponibile
Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,1996—,Non disponibile,Front wheel,Non disponibile,Non disponibile,4 cylinders,Soros,"1,998 cm³",Non disponibile,Non disponibile,Non disponibile,Staircase,Non disponibile,Non disponibile,196 Nm,"110 kW, 150 HP",Non disponibile,Non disponibile,Non disponibile,Non disponibile,Manual (5-speed) transmission,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Gasoline,Non disponibile
Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,2000—,Non disponibile,Front wheel,Non disponibile,Non disponibile,4 cylinders,Soros,1 499 cm³,Non disponibile,Non disponibile,Non disponibile,Staircase,Non disponibile,Non disponibile,Non disponibile,"56 kW, 76 HP",Non disponibile,Non disponibile,Non disponibile,Non disponibile,Manual (5-speed) transmission,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Gasoline,Non disponibile
Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,2000—,Non disponibile,Front wheel,Non disponibile,Non disponibile,4 cylinders,Non disponibile,"1,596 cm³",Non disponibile,Non disponibile,Non disponibile,Staircase,Non disponibile,Non disponibile,Non disponibile,"60 kW, 82 HP",Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Gasoline,Non disponibile
3 doors,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,135/82 SR13,Non disponibile,1981-1983,Non disponibile,Front wheel,Non disponibile,400 kg,4 cylinders,Soros,965 cm³,Non disponibile,Non disponibile,Mini-cars,Hatchback,Non disponibile,Non disponibile,Non disponibile,"35 kW, 48 HP",Non disponibile,Non disponibile,Non disponibile,675 kg,Manual (5-speed) transmission,4 persons,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,1 075 kg,Non disponibile,Gasoline,Non disponibile
3 doors,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,1981-1985,Non disponibile,Front wheel,Non disponibile,Non disponibile,4 cylinders,Soros,1 000 cm³,Non disponibile,Non disponibile,Mini-cars,Hatchback,Non disponibile,Non disponibile,Non disponibile,"51 kW, 69 HP",Non disponibile,Non disponibile,Non disponibile,Non disponibile,Manual (4-speed) transmission,4 persons,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Gasoline,Non disponibile
4 doors,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,1981-1982,Non disponibile,Front wheel,Non disponibile,Non disponibile,4 cylinders,Soros,"1,995 cm³",Non disponibile,Non disponibile,Mid-range,Sedan,Non disponibile,Non disponibile,Non disponibile,"84 kW, 114 HP",Non disponibile,Non disponibile,Non disponibile,Non disponibile,Manual (4-speed) transmission,4 persons,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Gasoline,Non disponibile
2 doors,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,1980-1982,Non disponibile,Front wheel,Non disponibile,Non disponibile,Non disponibile,Non disponibile,"1,600 cm³",Non disponibile,Non disponibile,Mid-range,Cup,Non disponibile,Non disponibile,Non disponibile,"74 kW, 101 HP",Non disponibile,Non disponibile,Non disponibile,Non disponibile,Manual (4-speed) transmission,4 persons,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Gasoline,Non disponibile
Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,1985-1990,Non disponibile,All-wheel,Non disponibile,Non disponibile,4 cylinders,Soros,"2,494 cm³",Non disponibile,Non disponibile,Non disponibile,All-terrain vehicle,Non disponibile,Non disponibile,Non disponibile,"62 kW, 84 HP",Non disponibile,Non disponibile,Non disponibile,Non disponibile,Manual (5-speed) transmission,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Gasoline,Non disponibile
Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,1986-1988,Non disponibile,All-wheel,Non disponibile,Non disponibile,4 cylinders,Non disponibile,"2,495 cm³",Non disponibile,Non disponibile,Non disponibile,Off-road vehicle,Non disponibile,Non disponibile,Non disponibile,"51 kW, 69 HP",Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Diesel,Non disponibile
Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,1984-1987,Non disponibile,All-wheel,Non disponibile,Non disponibile,4 cylinders,Non disponibile,"2,286 cm³",Non disponibile,Non disponibile,Non disponibile,Off-road vehicle,Non disponibile,Non disponibile,Non disponibile,"52 kW, 71 HP",Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Gasoline,Non disponibile
3 doors,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,Non disponibile,"Differential lock,, Head restraints [2 pcs], Right side exterior rearview mirror, Hardtop [hardtop], Mechanical transmission, 5-speed,, Power steering",Non disponibile,Non disponibile,Non disponibile,1994-1996,Non disponibile,All-wheel,Non disponibile,878 kg,8 cylinders,VOLTS,"3,528 cm³",3.883mm,Non disponibile,Off-road vehicle,City SUV (crossover),Non disponibile,1.997mm,253 Nm,"100 kW, 136 HP",Non disponibile,Non disponibile,Non disponibile,1 672 kg,Manual (5-speed) transmission,2 persons,1 790 mm,2 360 mm,Non disponibile,Non disponibile,Non disponibile,2 550 kg,Non disponibile,Gasoline,54 l
5 doors,Non disponibile,94 g/km,375 l,Non disponibile,Non disponibile,Non disponibile,"AUX - IN connector for external players, Power windows front to rear,, ASR [traction control],, Headrests front to rear [5 pcs],, Braking system: anti-lock braking system [ABS],, Tachometer, Child seat preparation [ISOFIX], Rear wiper system ignition, Ignition lock, Information system: On-board computer, Upholstery: fabric, Armrest front, Leather gear lever, Steering: active, Alloy wheels: 16', Remote central locking, External temperature sensor, Exterior rear-view mirrors electrically adjustable and heated, Air conditioner Equipment [ECC] electronic 2-zone control,, Airbag on the driver and passenger side, Side airbags in front, Curtain airbag,,, Microfilter [dust and pollen filter],, Spare brake light [third brake light], Spare wheel: emergency wheel, Radio CD with MP3 player, Radio telephone preparation [Bluetooth],, Alarm system,, Transmission: stepless automatic,, Power steering: electric,, Tinted windows: light and thermal protection, Knee airbag on driver's side, Knee airbag on passenger side, Ultrasonic parking control system rear, Seats rear: 1/3-2/3 split, Seats: adjustable Driver's seat height, Seat heating: heated seats front, Emergency lights in body colour, Lighting: fog lights front, Steering wheel: height-adjustable, Multi-function",Non disponibile,205/55 R16,10.3 seconds,2010-2013,Non disponibile,Front wheel,Non disponibile,435 kg,4 cylinders,Soros,"1,798 cm³",4 320 mm,Non disponibile,Lower middle category,Hatchback,EURO 5,"1,430 mm",142 Nm,"73 kW, 99 HP",4.0 l/100km,Non disponibile,Non disponibile,1 410 kg,Stepless automatic transmission,5 persons,1 765 mm,"2,600mm","4,1 l/100km",4.2 l/100km,180 km/h,1 845 kg,8 540 000 Ft,Hybrid (Petrol),45 l
5 doors,Non disponibile,94 g/km,375 l,Non disponibile,Non disponibile,Non disponibile,"AUX - IN connector for external players, Interior rearview mirror automatically darkens, CD changer [6 discs], Power windows front and rear,, ASR [traction control],, Headrests front and rear [5 pcs],, Brake System: Anti-lock Braking System [ABS],,, and rain sensor,, Speedometer, Child seat preparation [ISOFIX], Rear wiper system, Hi-Fi system, Professional, Starter lock, Upholstery: fabric, Armrest front, Comfort access (keyless system), Leather gear lever, Steering: active, Alloy wheels: 17', Center Lock with remote control, External temperature sensor, Electrically adjustable and heated exterior mirrors, Air conditioning system [ECC] electronic 2-zone control,, Airbag on the driver and passenger side, Side airbags front, Curtain airbag,,, Microfilter [dust and pollen filter],, Spare metal Lamp [third brake light], Spare wheel: emergency wheel, Radio CD with MP3 player, Radio telephone preparation [Bluetooth],, Alarm system,, Cruise control [cruise control], Transmission: stepless automatic,, Power steering: electric,, Tinted windows: light and heat protection, Knee airbag on driver's side, Knee airbag on passenger side, Reverse camera, Ultrasonic parking control system rear, Seats rear: 1/3-2/3 split, Seats: height-adjustable driver's seat, Seat heating: heated seats front, Glazing: tinted rear, Emergency lights in body colour, Illumination: fog lamps front, Information system: On-board computer, Navigation system [with colour monitor], Steering wheel: height/distance adjustment, multifunction",Non disponibile,215/45 R17,10.3 seconds,2010-2013,Non disponibile,Front wheel,Non disponibile,435 kg,4 cylinders,Soros,"1,798 cm³",4 320 mm,Non disponibile,Lower middle category,Hatchback,EURO 5,"1,430 mm",142 Nm,"73 kW, 99 HP",4.0 l/100km,Non disponibile,Non disponibile,1 410 kg,Stepless automatic transmission,5 persons,1 765 mm,"2,600mm","4,1 l/100km",4.2 l/100km,180 km/h,1 845 kg,9 840 000 HUF,Hybrid (Petrol),45 l
5 doors,Non disponibile,94 g/km,375 l,Non disponibile,Non disponibile,Non disponibile,"AUX - IN connector for external players, Interior rearview mirror auto-darkening, CD changer [6 discs], Power windows front and rear,, ASR [traction control],, Headrests front and rear [5 pcs], Black roof trim,, Brake System: Anti-lock Braking System [ABS],,, Light and rain sensor,, Tachometer, Chassis design: tower brace, front and rear, Child seat preparation [ISOFIX], Rear wiper system, Hi-Fi system, Professional, Boot lock, Upholstery: leather, Armrest front, Comfort access (keyless system), Leather lining Trained gearshift lever, Steering system: active, Alloy wheels: 17', Remote central locking, Exterior temperature gauge, Exterior rear-view mirrors automatically dimming, Exterior rear-view mirrors electrically adjustable and heated, Exterior rear-view mirrors electrically foldable, LED lighting ag: LED dipped-headlamp, LED daytime running light, direction indicators, headlight washer, air conditioning system [ECC] electronic 2-zone control,, airbag on the driver and passenger side, side pockets in front, curtain airbag,,, Microfilter [dust and pollen filter],, Spare brake light [third brake light], Spare wheel: emergency wheel, Radio-CD with MP3 player, Radio telephone preparation [Bluetooth],, Alarm system,, Cruise control [cruise control], Transmission: stepless automatic,, Power steering: electric,, Tinted windows: light and heat protection, Knee breathing Driver's side bag, Passenger side knee airbag, Reverse camera, Ultrasonic parking control system rear, Seats rear: 1/3-2/3 split, Seat heating: heated seats front, Glass sunroof, Electric, Glazing: tinted rear, Emergency response: sport Emergency devices front and rear, Emergency lights in body colour, Lighting: fog lights front, Information system: On-board computer, Navigation system [with colour monitor], Steering wheel: height-adjustable, Multi-function, Seats: height-adjustable driver's seat, lumbar support adjustment at, electrically adjustable and programmable driver's seat",Non disponibile,215/45 R17,10.3 seconds,2012-2013,Non disponibile,Front wheel,Non disponibile,435 kg,4 cylinders,Soros,"1,798 cm³",4 320 mm,Non disponibile,Lower middle category,Hatchback,EURO 5,"1,430 mm",142 Nm,"73 kW, 99 HP",4.0 l/100km,Non disponibile,Non disponibile,1 410 kg,Stepless automatic transmission,5 persons,1 765 mm,"2,600mm","4,1 l/100km",4.2 l/100km,180 km/h,1 845 kg,11 240 000 HUF,Hybrid (Petrol),45 l
5 doors,Non disponibile,94 g/km,375 l,Non disponibile,Non disponibile,Non disponibile,"Audio system: Mark Levinson [DVD playback, 14 speakers, 5.1], AUX - IN connector for external players, CD changer [6 discs], Power windows front and rear,, ASR [traction control],, Headrests front and rear [5 pcs],, Brake system: anti-lock braking system system [ABS],, Light and rain sensor,, Tachometer, Chassis design: turret bracing, front and rear, Child seat preparation [ISOFIX], Rear wiper system, Starter lock, Upholstery: leather, Armrest front, Comfort access (keyless system), Leather trim gear lever, Steering: active, Alloy Wheels: 17', Centre lock with remote control, External temperature sensor, Exterior rear-view mirrors electrically folded, Heated knife adjustable, External/internal rear-view mirrors automatically darken, LED lighting package: LED dipped-head lamp, LED daytime running light, direction indicator indicators, headlight washer, Air conditioning system [ECC] electronic 2-zone control,, Airbag on the driver and passenger side, Side airbags front, Curtain airbag,,, Microfilter [dust and pollen filter],, Spare brake light [third brake light], Spare wheel: tire instead of spare wheel repair kit, Pre- Crash system: pre-crash safety system, Radio CD with MP3 player, Radio telephone preparation [Bluetooth],, Alarm system,, Cruise control [cruise control], Transmission: stepless automatic,, Power steering: electric,, Knee airbag on driver's side, Knee airbag on passenger side, Reversing camera, Ultrasonic parking Steering system rear, Seats rear: 1/3-2/3 split, Seat heating: heated seats front, Glass sunroof, Electric, Glazing: tinted rear, Emergency lights in body colour, Lighting: fog lights front, Information system: on-board computer, Navigation system [with colour monitor], Steering wheel: height-adjustable, Multi-function, Tinted windows: light and thermal protection, UV protection, Seats: height-adjustable driver's seat, Electrically adjustable and programmable driver's seat",Non disponibile,215/45 R17,10.3 seconds,2010-2013,Non disponibile,Front wheel,Non disponibile,435 kg,4 cylinders,Soros,"1,798 cm³",4 320 mm,Non disponibile,Lower middle category,Hatchback,EURO 5,"1,430 mm",142 Nm,"73 kW, 99 HP",4.0 l/100km,Non disponibile,Non disponibile,1 410 kg,Stepless automatic transmission,5 persons,1 765 mm,"2,600mm","4,1 l/100km",4.2 l/100km,180 km/h,1 845 kg,12 440 000 HUF,Hybrid (Petrol),45 l
